wavelength_nm  mean_gain
640.998901 1.001651
642.228027 1.000783
643.463379 1.000032
644.696167 0.999532
645.934021 0.999478
647.172791 0.999101
648.406128 0.999488
649.646851 0.999179
650.886230 0.999360
652.125000 1.000109
653.365601 1.000448
654.601990 1.000541
655.838745 0.999958
657.079895 0.999393
658.324524 0.999344
659.564636 0.999853
660.806396 1.000441
662.048645 1.000733
663.287231 1.000619
664.529419 1.000425
665.766479 1.000395
667.007385 1.000356
668.245972 1.000151
669.486084 0.999837
670.729492 0.999552
671.975830 0.999192
673.223633 0.999323
674.464966 0.999415
675.710876 0.999352
676.947998 0.999457
678.179626 0.999706
679.421875 1.000081
680.658875 1.000528
681.903381 1.000600
683.146851 1.000988
684.390503 0.999592
685.634277 0.999655
686.876953 1.000337
688.123474 1.000179
689.372986 1.000040
690.621399 0.999644
691.865234 1.000135
693.115601 1.000321
694.363647 0.999976
695.612366 0.999600
696.861206 0.999587
698.104919 1.000450
699.348145 1.001151
700.589417 1.000738
701.835510 1.000203
703.079468 0.999594
704.324158 0.999854
705.569946 1.000208
706.816528 1.000087
708.064575 0.999633
709.308228 0.999267
710.556885 0.999459
711.801147 1.000265
713.048401 1.000730
714.297607 1.000935
716.790527 1.000961
719.280396 0.998811
721.777344 0.998382
724.276611 1.002596
726.776245 1.000170
729.271484 1.000698
731.768188 0.997874
734.271973 0.998627
736.770020 1.001977
739.263916 1.001159
740.515991 1.000157
741.765747 0.999481
743.014221 0.998881
744.266235 0.998869
745.516846 0.998788
746.764832 0.998848
748.015320 0.999088
749.267395 0.999189
750.516602 0.999575
751.771118 1.000037
753.022095 1.000930
754.275330 1.002024
755.528259 1.001640
