step,objective,rmse,rmse_linear,rho,dx_norm,cond_A,lambda,accepted,vcd_o2_intercept,vcd_o2_slope,vcd_h2o_intercept,vcd_h2o_slope,p_o2_hpa,t_o2_k,p_h2o_hpa,t_h2o_k,continuum_scale,sif_ev1,sif_ev2,legendre_p0,legendre_p1,legendre_p2,legendre_p3
0,33821.22712361166,0.2854766765043686,NaN,NaN,0.0,NaN,1.0,true,3.981071705534985e24,0.0,3.981071705534969e22,0.0,700.0,280.0,700.0,280.0,9.530619462713496,0.0,0.0,0.9652176072954226,-0.36048953388190913,0.0,0.0
1,0.4620701481408384,0.1055188155597315,0.027486688074871184,0.8714575111093054,4.947183289964759e22,1.463146448068442e8,0.7,true,3.951858398263318e24,2.9977357588385235e21,7.919897915839534e22,-5.798561677155835e21,731.9210746350611,230.69422038887632,100.0,283.6465793414764,9.197126028966284,0.002372435910475573,0.0009616502588569122,1.0188126635504073,-0.340472849560266,0.03451877163853312,0.0008803229835696771
2,0.1276298345240002,0.05545644867257096,0.029231158537846018,0.783948544376202,3.609373392874517e22,1.7024678399129354e6,61.24999999999999,true,3.985223907272565e24,-7.740535342389354e20,6.7958770733743855e22,-1.279368551965624e22,789.4383114918022,275.2005029709762,320.4302052855728,283.85522754734325,8.821507206656898,3.2447808224892946e-5,1.3572325954040016e-5,1.0613033874371636,-0.35424913512008693,0.03776650182495107,0.0026637431179217003
3,0.045500337536892685,0.03311183588368026,0.02876690439485937,0.880394621170062,8.533109004708151e21,2.4568416911385567e6,42.87499999999999,true,3.985075328278629e24,-8.287572981657186e20,7.644797261150594e22,-1.1943784027949585e22,788.0809968340664,274.5057396752802,454.81079882056486,285.21890240338155,9.211974547238698,4.640549379327235e-5,1.8796203519028423e-5,1.0164928828551283,-0.33920423896043683,0.036205449888918634,0.002094846938916377
4,0.032551570330353274,0.028006698996547442,0.028018779895263808,1.002173940231592,2.697552725310875e21,3.4410800312895044e6,30.012499999999992,true,3.9847053909206274e24,-8.606221768235347e20,7.904343862774716e22,-1.1309372611728226e22,789.6099019576103,273.137057987666,434.0450244386554,286.505642707762,9.221577465944884,6.157226265612377e-5,2.4794561998290123e-5,1.0177274893755675,-0.33931175304607575,0.03608483864817313,0.001557810817762557
5,0.030324554762629893,0.027031688126251698,0.02704872100661277,1.017465155363056,4.591844504419469e21,4.925078619418781e6,21.008749999999992,true,3.984149845886175e24,-9.050951151940304e20,8.317633060312245e22,-9.387490267490213e21,790.9897483921986,271.2430983795755,380.820458369167,286.1159953135527,9.20780009821566,8.402581267234151e-5,3.4031695008087465e-5,1.0197708371893628,-0.3394749235172604,0.03581253250493881,0.0008398179999772631
6,0.028261558485835975,0.026096003703579833,0.02607559781546992,0.9790329830999539,6.409797627531541e21,7.024029433383029e6,14.706124999999993,true,3.983551104070016e24,-9.666048255530263e20,8.862034963786008e22,-6.057942675333321e21,792.6389894351539,269.3026291339123,325.9456653996974,284.5663823577429,9.181974037709077,0.00011388359190321886,4.6945744641088935e-5,1.0232283628560161,-0.33997014276112486,0.03550282959676044,-6.818167659951801e-6
7,0.026510357103078253,0.025274567961022464,0.02521197729866398,0.9303317280436856,8.141493088994438e21,1.0038358367724255e7,10.294287499999994,true,3.983041366619508e24,-1.0552729492932032e21,9.515824723249331e22,-1.2338250922291165e21,795.1128781846935,267.7127348426427,275.8904406910199,281.9252939215985,9.136128834019871,0.00015420167749072137,6.520622905225177e-5,1.0289583998317018,-0.34113459476610253,0.03521082234611573,-0.0009118025350116949
8,0.02499775204291422,0.024542931180150336,0.02441900534867063,0.857285400347183,1.053235629166793e22,1.4356649780822856e7,7.2060012499999955,true,3.982854452112873e24,-1.1970619351483314e21,1.0319774891015343e23,5.566314662234518e21,799.7468832174371,267.0669865898091,229.68429939107827,278.0251630729692,9.054288881528576,0.00020882118771815071,9.102315837215336e-5,1.0388334126451562,-0.34357473274291245,0.034972613579311466,-0.0018801934140971104
9,0.023648017723681455,0.023871148953870366,0.023583161972687606,0.7041298803980816,1.4723544391649367e22,2.0562269342406075e7,5.044200874999997,true,3.9833669962308223e24,-1.4496198125606417e21,1.1398715393502037e23,1.556856499443267e22,808.7278783924413,268.23580649493374,184.9673978300012,272.49353614183235,8.909849119811048,0.0002820971773115019,0.00012710336794264374,1.0561834845874984,-0.3483185973869657,0.0348246335527286,-0.002985914342621217
10,0.023121786414465592,0.023604056428220988,0.022635016051062072,0.22057327548926223,2.0536591898613855e22,2.953960931644799e7,3.5309406124999976,true,3.984778669428526e24,-1.8990849979654236e21,1.2860346980823788e23,2.991848056681624e22,823.0951707318521,271.6805473617509,144.81669715041033,265.5801119178498,8.663918102784722,0.00037967698497111,0.00017631457848871397,1.0863750286348428,-0.3571075156392402,0.0348893557763613,-0.004259302437162702
